anio,pais,combustible,continente,Idanio,Idpais,Idcombustible,Idcontinente
None,Ireland,None,None,6adf97f83acf6453d4a6a4b1070f3754,06e415f918c577f07328a52e24f75d43,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Israel,None,None,6adf97f83acf6453d4a6a4b1070f3754,5a548c2f5875f10bf5614b7c258876cf,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Italy,None,None,6adf97f83acf6453d4a6a4b1070f3754,1007e1b7f894dfbf72a0eaa80f3bc57e,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Jamaica,None,None,6adf97f83acf6453d4a6a4b1070f3754,1add2eb41fcae9b2a15b4a7d68571409,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Japan,None,None,6adf97f83acf6453d4a6a4b1070f3754,53a577bb3bc587b0c28ab808390f1c9b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Jordan,None,None,6adf97f83acf6453d4a6a4b1070f3754,6ea1e24d60afddf388b06f8243c45b70,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Kazakhstan,None,None,6adf97f83acf6453d4a6a4b1070f3754,7c1a943bf29d2c753fb935e99428482c,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Kenya,None,None,6adf97f83acf6453d4a6a4b1070f3754,94984a8c4896946d9bafd24959cb6181,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Kiribati,None,None,6adf97f83acf6453d4a6a4b1070f3754,5445aab1db1bff113667140ec2e95742,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Kuwait,None,None,6adf97f83acf6453d4a6a4b1070f3754,05387f3ca38d7bd84ae35f31f2899ecf,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Kyrgyzstan,None,None,6adf97f83acf6453d4a6a4b1070f3754,5e4a24f76c22f03700b283dfbdf6eec1,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Laos,None,None,6adf97f83acf6453d4a6a4b1070f3754,601aebf4afb1db3fdb5c88f3cdda23ef,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Latvia,None,None,6adf97f83acf6453d4a6a4b1070f3754,a09f4b2ae67f0a63ab8912047a1a1b55,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Lebanon,None,None,6adf97f83acf6453d4a6a4b1070f3754,b45ff92cc522bb89bfc3b8ef3fc21b7d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Lesotho,None,None,6adf97f83acf6453d4a6a4b1070f3754,e99bb6b91ef51dbe4eec9340dc7c68cf,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Liberia,None,None,6adf97f83acf6453d4a6a4b1070f3754,642cab67fc263bb61ae4ccbd577c8aa4,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Libya,None,None,6adf97f83acf6453d4a6a4b1070f3754,742b8abe5776a6d942a92ce7dc7d84a0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
