,Pais,Continente,Codigo,Anio,Combustibles Fosiles,Renovables,Nuclear,Id_Pais
409,Austria,Europe,AUT,1975,74.96575164794922,25.03424644470215,0.0,9891739094756d2605946c867b32ad28
410,Austria,Europe,AUT,1976,79.09468078613281,20.905319213867188,0.0,9891739094756d2605946c867b32ad28
411,Austria,Europe,AUT,1977,74.72869873046875,25.27130508422852,0.0,9891739094756d2605946c867b32ad28
412,Austria,Europe,AUT,1978,75.75537872314453,24.24462509155273,0.0,9891739094756d2605946c867b32ad28
413,Austria,Europe,AUT,1979,74.21554565429688,25.784454345703125,0.0,9891739094756d2605946c867b32ad28
414,Austria,Europe,AUT,1980,73.17398071289062,26.82601547241211,0.0,9891739094756d2605946c867b32ad28
415,Austria,Europe,AUT,1981,70.71934509277344,29.28065299987793,0.0,9891739094756d2605946c867b32ad28
416,Austria,Europe,AUT,1982,69.68022918701172,30.31977081298828,0.0,9891739094756d2605946c867b32ad28
417,Austria,Europe,AUT,1983,69.88221740722656,30.117788314819336,0.0,9891739094756d2605946c867b32ad28
418,Austria,Europe,AUT,1984,73.31017303466797,26.68983268737793,0.0,9891739094756d2605946c867b32ad28
419,Austria,Europe,AUT,1985,70.230712890625,29.76928329467773,0.0,9891739094756d2605946c867b32ad28
420,Austria,Europe,AUT,1986,69.82234954833984,30.17765617370605,0.0,9891739094756d2605946c867b32ad28
421,Austria,Europe,AUT,1987,67.80618286132812,32.193809509277344,0.0,9891739094756d2605946c867b32ad28
422,Austria,Europe,AUT,1988,67.26673126220703,32.7332649230957,0.0,9891739094756d2605946c867b32ad28
423,Austria,Europe,AUT,1989,67.59141540527344,32.40857696533203,0.0,9891739094756d2605946c867b32ad28
424,Austria,Europe,AUT,1990,71.09130859375,28.9086856842041,0.0,9891739094756d2605946c867b32ad28
425,Austria,Europe,AUT,1991,72.4128189086914,27.58718681335449,0.0,9891739094756d2605946c867b32ad28
426,Austria,Europe,AUT,1992,68.96273803710938,31.037273406982425,0.0,9891739094756d2605946c867b32ad28
427,Austria,Europe,AUT,1993,67.91191101074219,32.08808517456055,0.0,9891739094756d2605946c867b32ad28
428,Austria,Europe,AUT,1994,68.70369720458984,31.296300888061523,0.0,9891739094756d2605946c867b32ad28
429,Austria,Europe,AUT,1995,68.48407745361328,31.51592063903809,0.0,9891739094756d2605946c867b32ad28
430,Austria,Europe,AUT,1996,71.04878234863281,28.95120620727539,0.0,9891739094756d2605946c867b32ad28
431,Austria,Europe,AUT,1997,70.03652954101562,29.96346664428711,0.0,9891739094756d2605946c867b32ad28
432,Austria,Europe,AUT,1998,69.55831146240234,30.441696166992188,0.0,9891739094756d2605946c867b32ad28
433,Austria,Europe,AUT,1999,67.74200439453125,32.257999420166016,0.0,9891739094756d2605946c867b32ad28
434,Austria,Europe,AUT,2000,67.04573822021484,32.95425796508789,0.0,9891739094756d2605946c867b32ad28
435,Austria,Europe,AUT,2001,69.1834945678711,30.81651306152344,0.0,9891739094756d2605946c867b32ad28
436,Austria,Europe,AUT,2002,69.67488861083984,30.32511711120605,0.0,9891739094756d2605946c867b32ad28
437,Austria,Europe,AUT,2003,74.8594741821289,25.14051818847656,0.0,9891739094756d2605946c867b32ad28
438,Austria,Europe,AUT,2004,72.36621856689453,27.63378524780273,0.0,9891739094756d2605946c867b32ad28
439,Austria,Europe,AUT,2005,72.05213928222656,27.94786071777344,0.0,9891739094756d2605946c867b32ad28
440,Austria,Europe,AUT,2006,71.40878295898438,28.591209411621094,0.0,9891739094756d2605946c867b32ad28
441,Austria,Europe,AUT,2007,69.0193862915039,30.980609893798828,0.0,9891739094756d2605946c867b32ad28
442,Austria,Europe,AUT,2008,68.65452575683594,31.345478057861328,0.0,9891739094756d2605946c867b32ad28
443,Austria,Europe,AUT,2009,65.677490234375,34.322513580322266,0.0,9891739094756d2605946c867b32ad28
444,Austria,Europe,AUT,2010,68.39436340332031,31.605642318725582,0.0,9891739094756d2605946c867b32ad28
445,Austria,Europe,AUT,2011,69.2791976928711,30.72079467773437,0.0,9891739094756d2605946c867b32ad28
446,Austria,Europe,AUT,2012,64.07064819335938,35.929344177246094,0.0,9891739094756d2605946c867b32ad28
447,Austria,Europe,AUT,2013,64.73332977294922,35.26667404174805,0.0,9891739094756d2605946c867b32ad28
448,Austria,Europe,AUT,2014,63.35970687866211,36.64029693603516,0.0,9891739094756d2605946c867b32ad28
449,Austria,Europe,AUT,2015,65.03591918945312,34.96407699584961,0.0,9891739094756d2605946c867b32ad28
450,Austria,Europe,AUT,2016,64.34815216064453,35.65185546875,0.0,9891739094756d2605946c867b32ad28
451,Austria,Europe,AUT,2017,65.49712371826172,34.502872467041016,0.0,9891739094756d2605946c867b32ad28
452,Austria,Europe,AUT,2018,65.43107604980469,34.56892776489258,0.0,9891739094756d2605946c867b32ad28
453,Austria,Europe,AUT,2019,64.38861846923828,35.61137771606445,0.0,9891739094756d2605946c867b32ad28
454,Austria,Europe,AUT,2020,61.73932647705078,38.26066970825195,0.0,9891739094756d2605946c867b32ad28
